"cnty_fips","display_name","Value","theme_range","perc_aian","perc_api","perc_black","perc_white"
02013,"""Aleutians East, (AK)""",-1,,38.5,26.3,3.4,15
02016,"""Aleutians West, (AK)""",-1,,11,42,4.2,24.1
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",6.9,11.6,5.2,58.4
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",82.2,1,0.6,9.9
02060,"""Bristol Bay, (AK)""",-1,,32.6,0.5,0.4,53.9
02068,"""Denali, (AK)""",-1,,1.9,4.5,0.8,81
02070,"""Dillingham, (AK)""",-1,,71,1.5,1.3,15.8
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",6.7,3.4,4.2,70.4
02100,"""Haines, (AK)""",-1,,8.4,3,0,77.7
02105,"""Hoonah-Angoon, (AK)""",-1,,36,2.9,3,43.1
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",10.5,7.5,0.9,65
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",7.5,1.8,0.5,80.6
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",14,7.4,0.7,64
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",12.9,23.4,0.1,49.4
02164,"""Lake and Peninsula, (AK)""",-1,,66.6,2.8,0.6,22.1
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",5.5,1.5,0.9,79.4
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",73.7,1.9,0.8,14.7
02185,"""North Slope, (AK)""",-1,,51.7,7.2,0.7,31
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",82.4,0.9,0.9,10.8
02195,"""Petersburg, (AK)""",-1,,6.7,9.7,0.7,62.9
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",39.1,1.8,0.3,45.3
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",11.9,7.1,1,61.9
02230,"""Skagway, (AK)""",-1,,4.2,1.7,0.6,83.6
02240,"""Southeast Fairbanks, (AK)""",-1,,13.1,2.2,0.3,74.2
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",12.7,4.1,0.2,69.6
02158,"""Kusilvak, (AK)""",-1,,90.9,0.4,0.2,3.6
02275,"""Wrangell, (AK)""",-1,,17.4,3.1,0,66.1
02282,"""Yakutat, (AK)""",-1,,27.4,10.5,0.2,42.3
02290,"""Yukon-Koyukuk, (AK)""",-1,,69.8,0.6,0.1,21.4
06001,"""Alameda, (CA)""",58,"28.0 - 75.9 (591)",0.3,30.1,10.4,31.8
06005,"""Amador, (CA)""",84.7,"76.0 - 91.3 (584)",0.7,1.4,1.9,78.6
06007,"""Butte, (CA)""",86.2,"76.0 - 91.3 (584)",0.7,4.5,1.4,72.3
06009,"""Calaveras, (CA)""",82.2,"76.0 - 91.3 (584)",0.8,1.5,0.6,81.5
06011,"""Colusa, (CA)""",83.6,"76.0 - 91.3 (584)",0.7,1.7,1.2,35.7
06013,"""Contra Costa, (CA)""",56.8,"28.0 - 75.9 (591)",0.2,16.5,8.2,44.3
06015,"""Del Norte, (CA)""",94.1,"91.4 - 108.6 (588)",6.7,3.4,2.7,62.6
06017,"""El Dorado, (CA)""",79.3,"76.0 - 91.3 (584)",0.5,4.6,0.7,78.2
06021,"""Glenn, (CA)""",79.2,"76.0 - 91.3 (584)",1.4,3,0.7,52
06023,"""Humboldt, (CA)""",110.1,"108.7 - 131.0 (582)",4.3,3.2,0.9,74.6
06031,"""Kings, (CA)""",111.3,"108.7 - 131.0 (582)",0.8,4,5.8,32.6
06033,"""Lake, (CA)""",97.6,"91.4 - 108.6 (588)",3.2,1,2.2,71.1
06035,"""Lassen, (CA)""",102.8,"91.4 - 108.6 (588)",2.7,2,8.6,65.8
06041,"""Marin, (CA)""",46.1,"28.0 - 75.9 (591)",0.1,5.8,2.1,71.3
06043,"""Mariposa, (CA)""",115.9,"108.7 - 131.0 (582)",2.2,1.6,0.9,80.5
06045,"""Mendocino, (CA)""",77.6,"76.0 - 91.3 (584)",3.2,2.1,0.5,65.5
06047,"""Merced, (CA)""",105.1,"91.4 - 108.6 (588)",0.3,7.4,2.9,28.2
06049,"""Modoc, (CA)""",80.1,"76.0 - 91.3 (584)",3.2,1.5,1.6,77.8
06053,"""Monterey, (CA)""",54.5,"28.0 - 75.9 (591)",0.2,5.9,2.4,30.2
06055,"""Napa, (CA)""",79.9,"76.0 - 91.3 (584)",0.2,8.1,1.9,52.7
06057,"""Nevada, (CA)""",80.3,"76.0 - 91.3 (584)",0.5,1.1,0.6,85.2
06061,"""Placer, (CA)""",72.2,"28.0 - 75.9 (591)",0.3,7.3,1.5,73.2
06063,"""Plumas, (CA)""",76.5,"76.0 - 91.3 (584)",2,1.2,1,83.2
06067,"""Sacramento, (CA)""",91.9,"91.4 - 108.6 (588)",0.3,16.4,9.5,45.1
06069,"""San Benito, (CA)""",67.5,"28.0 - 75.9 (591)",0.3,3,0.7,34.9
06075,"""San Francisco, (CA)""",56.3,"28.0 - 75.9 (591)",0.1,34.1,5,40.6
06077,"""San Joaquin, (CA)""",88.1,"76.0 - 91.3 (584)",0.2,15.5,6.8,32.4
06079,"""San Luis Obispo, (CA)""",66.3,"28.0 - 75.9 (591)",0.4,3.6,1.7,69.1
06081,"""San Mateo, (CA)""",54.5,"28.0 - 75.9 (591)",0.1,29,2.1,39.5
06083,"""Santa Barbara, (CA)""",70.3,"28.0 - 75.9 (591)",0.3,5.2,1.7,44.9
06085,"""Santa Clara, (CA)""",56.4,"28.0 - 75.9 (591)",0.1,35.9,2.3,32
06087,"""Santa Cruz, (CA)""",56.6,"28.0 - 75.9 (591)",0.1,4.4,0.8,57.5
06089,"""Shasta, (CA)""",114.5,"108.7 - 131.0 (582)",2.2,3,1.1,80.1
06091,"""Sierra, (CA)""",-1,,0.8,0,0.2,87.6
06093,"""Siskiyou, (CA)""",90.6,"76.0 - 91.3 (584)",2.9,1.8,1.4,76.6
06095,"""Solano, (CA)""",65.2,"28.0 - 75.9 (591)",0.2,15.9,13.5,38.5
06097,"""Sonoma, (CA)""",71.7,"28.0 - 75.9 (591)",0.4,4.2,1.4,63.4
06099,"""Stanislaus, (CA)""",124,"108.7 - 131.0 (582)",0.4,5.9,2.6,42.6
06101,"""Sutter, (CA)""",111.4,"108.7 - 131.0 (582)",0.7,15.5,1.8,46.6
06103,"""Tehama, (CA)""",118.4,"108.7 - 131.0 (582)",1.5,1.5,0.6,68.7
06105,"""Trinity, (CA)""",77.2,"76.0 - 91.3 (584)",4.4,2.6,0.6,82.4
