"cnty_fips","display_name","Value","theme_range","perc_hisp","perc_65up","total_pop"
02013,"""Aleutians East, (AK)""",-1,,10.1,8.8,3425
02016,"""Aleutians West, (AK)""",-1,,13.8,5.8,5750
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",9,10,296112
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",2.3,7.1,18040
02060,"""Bristol Bay, (AK)""",-1,,3.5,9.6,890
02068,"""Denali, (AK)""",-1,,0.4,7.3,2232
02070,"""Dillingham, (AK)""",-1,,3.4,8.6,4975
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",7.9,9.2,99653
02100,"""Haines, (AK)""",-1,,3.8,24.4,2518
02105,"""Hoonah-Angoon, (AK)""",-1,,6.6,19.5,2132
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",6.5,12,32330
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",4,15.6,58220
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",5,14.1,13804
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",8.9,9.1,13649
02164,"""Lake and Peninsula, (AK)""",-1,,1.3,7.9,1375
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",4.7,10.7,103464
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",2.5,7.5,9925
02185,"""North Slope, (AK)""",-1,,2.1,6.4,9797
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",1.1,7.7,7734
02195,"""Petersburg, (AK)""",-1,,10.3,21.5,3255
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",3.7,14.8,6474
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",6.4,14.5,8738
02230,"""Skagway, (AK)""",-1,,5.1,11.3,1061
