"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
02013,"""Aleutians East, (AK)""",-1,,-1,0,14.8
02016,"""Aleutians West, (AK)""",-1,,-1,0,21.3
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",-1,79,16.6
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",-1,0,60.2
02060,"""Bristol Bay, (AK)""",-1,,-1,1,13.8
02068,"""Denali, (AK)""",-1,,-1,16,27.8
02070,"""Dillingham, (AK)""",-1,,-1,5,38
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",-1,30,23
02100,"""Haines, (AK)""",-1,,-1,0,23.1
02105,"""Hoonah-Angoon, (AK)""",-1,,-1,6,-1
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",-1,40,15
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",-1,24,19
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",-1,0,16.3
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",-1,7,25.4
02164,"""Lake and Peninsula, (AK)""",-1,,-1,11,28.4
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",-1,7,20.7
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",-1,0,48.6
02185,"""North Slope, (AK)""",-1,,-1,3,39.2
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",-1,0,53.8
02195,"""Petersburg, (AK)""",-1,,-1,0,-1
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",-1,0,-1
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",-1,12,18.6
02230,"""Skagway, (AK)""",-1,,-1,0,-1
02240,"""Southeast Fairbanks, (AK)""",-1,,-1,0,28.8
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",-1,6,18.8
02158,"""Kusilvak, (AK)""",-1,,-1,-1,-1
02275,"""Wrangell, (AK)""",-1,,-1,0,-1
02282,"""Yakutat, (AK)""",-1,,-1,0,15.1
02290,"""Yukon-Koyukuk, (AK)""",-1,,-1,0,52.6
