"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
02013,"""Aleutians East, (AK)""",-1,,13,49.9,29.9
02016,"""Aleutians West, (AK)""",-1,,10.7,44.1,30.3
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",8.2,31.7,17.8
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",7,30.8,31.3
02060,"""Bristol Bay, (AK)""",-1,,13.7,41.3,28.1
02068,"""Denali, (AK)""",-1,,5.1,24.7,18.2
02070,"""Dillingham, (AK)""",-1,,10.5,35.2,23.9
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",7.1,30,18.7
02100,"""Haines, (AK)""",-1,,5.5,26.4,19.3
02105,"""Hoonah-Angoon, (AK)""",-1,,11.1,31.5,17.2
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",6.2,26.9,15.9
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",7.1,32.9,21.5
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",8,38,18.6
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",8.2,33.8,24.6
02164,"""Lake and Peninsula, (AK)""",-1,,9.5,37.5,22
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",8.5,34.1,21.8
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",8.2,40.2,25.2
02185,"""North Slope, (AK)""",-1,,8.4,39.7,35.3
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",11.6,41.8,27
02195,"""Petersburg, (AK)""",-1,,6.5,24.1,17.6
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",11.6,44.8,21.7
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",7.2,26.2,17.2
02230,"""Skagway, (AK)""",-1,,6,32.4,19.1
02240,"""Southeast Fairbanks, (AK)""",-1,,8.6,32.7,18.1
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",10.1,34.1,18.7
02158,"""Kusilvak, (AK)""",-1,,5.9,23,28.5
02275,"""Wrangell, (AK)""",-1,,10.6,43.1,28.2
02282,"""Yakutat, (AK)""",-1,,6.4,31.4,21.8
02290,"""Yukon-Koyukuk, (AK)""",-1,,8.1,30.3,23.4
06001,"""Alameda, (CA)""",58,"28.0 - 75.9 (591)",6.7,19.2,14.5
06005,"""Amador, (CA)""",84.7,"76.0 - 91.3 (584)",10.4,29.8,22.8
06007,"""Butte, (CA)""",86.2,"76.0 - 91.3 (584)",8.7,27.2,21.6
06009,"""Calaveras, (CA)""",82.2,"76.0 - 91.3 (584)",8.3,30.4,28.6
06011,"""Colusa, (CA)""",83.6,"76.0 - 91.3 (584)",20.1,40.6,27.2
