"cnty_fips","display_name","Value","theme_range","no_hsdip","no_college","female_hd","foodstmp"
02013,"""Aleutians East, (AK)""",-1,,13.6,87.3,13.1,3.2
02016,"""Aleutians West, (AK)""",-1,,11.2,83.6,10.1,1.8
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",6.2,64.7,11.5,9.4
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",18.6,87.7,19.3,41.7
02060,"""Bristol Bay, (AK)""",-1,,5.6,77.7,9.3,6.1
02068,"""Denali, (AK)""",-1,,1.6,56.5,6.3,4.6
02070,"""Dillingham, (AK)""",-1,,12.7,80.7,19.8,23.4
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",5.5,67.4,8.3,6.2
02100,"""Haines, (AK)""",-1,,3,62.6,4.4,6.9
02105,"""Hoonah-Angoon, (AK)""",-1,,8.5,76.6,11.9,18.5
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",3.9,60.5,8.4,8.5
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",7.2,76.7,7.1,8.6
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",7.3,75.5,11,14.2
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",10.1,74,13,5.3
02164,"""Lake and Peninsula, (AK)""",-1,,14.5,84.2,19.8,18.4
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",7.6,78.8,8.3,9.8
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",15.9,85.4,21.2,35.2
02185,"""North Slope, (AK)""",-1,,10.2,83.4,22.3,9.2
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",18.1,88.3,22.6,34.6
02195,"""Petersburg, (AK)""",-1,,10.3,72.4,12.4,11.8
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",9.8,82.4,11.2,15.9
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",6,67.4,10.3,7.1
02230,"""Skagway, (AK)""",-1,,6.3,66.3,5,1.6
02240,"""Southeast Fairbanks, (AK)""",-1,,9.8,80.9,7.5,10.5
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",4,69.4,6.5,7.2
02158,"""Kusilvak, (AK)""",-1,,22.3,95.2,27.3,57.6
02275,"""Wrangell, (AK)""",-1,,11.7,79.3,8.2,10.9
02282,"""Yakutat, (AK)""",-1,,8.2,80,9.1,7.2
02290,"""Yukon-Koyukuk, (AK)""",-1,,14.3,86.6,18,28
06001,"""Alameda, (CA)""",58,"28.0 - 75.9 (591)",12,54,11.5,6.7
06005,"""Amador, (CA)""",84.7,"76.0 - 91.3 (584)",9.7,79.7,7.2,8.7
06007,"""Butte, (CA)""",86.2,"76.0 - 91.3 (584)",10.7,73.5,11.4,13.8
06009,"""Calaveras, (CA)""",82.2,"76.0 - 91.3 (584)",9.6,81.3,10,11.1
06011,"""Colusa, (CA)""",83.6,"76.0 - 91.3 (584)",30.6,84.6,11.2,6.4
06013,"""Contra Costa, (CA)""",56.8,"28.0 - 75.9 (591)",10.6,58.3,12.2,5.8
06015,"""Del Norte, (CA)""",94.1,"91.4 - 108.6 (588)",19,85.7,14,18.8
06017,"""El Dorado, (CA)""",79.3,"76.0 - 91.3 (584)",6.9,66.3,7.9,6.8
06021,"""Glenn, (CA)""",79.2,"76.0 - 91.3 (584)",24.7,86.1,12.2,12.8
06023,"""Humboldt, (CA)""",110.1,"108.7 - 131.0 (582)",9.7,70.2,11.1,15.1
06031,"""Kings, (CA)""",111.3,"108.7 - 131.0 (582)",26.3,86.5,17.6,15.9
06033,"""Lake, (CA)""",97.6,"91.4 - 108.6 (588)",14.8,84.2,13,18.8
06035,"""Lassen, (CA)""",102.8,"91.4 - 108.6 (588)",17.2,88,9.3,10
06041,"""Marin, (CA)""",46.1,"28.0 - 75.9 (591)",6.8,41.2,7.7,3.7
06043,"""Mariposa, (CA)""",115.9,"108.7 - 131.0 (582)",9.6,76.6,8.6,11.2
06045,"""Mendocino, (CA)""",77.6,"76.0 - 91.3 (584)",13.1,75.3,11.6,13.8
06047,"""Merced, (CA)""",105.1,"91.4 - 108.6 (588)",30.6,86,16.9,20.5
06049,"""Modoc, (CA)""",80.1,"76.0 - 91.3 (584)",14.4,84.1,8.5,12.1
06053,"""Monterey, (CA)""",54.5,"28.0 - 75.9 (591)",28.7,75.5,13.6,10.7
06055,"""Napa, (CA)""",79.9,"76.0 - 91.3 (584)",14.9,65.1,10.3,4.9
06057,"""Nevada, (CA)""",80.3,"76.0 - 91.3 (584)",5.8,63.4,8.2,7.6
06061,"""Placer, (CA)""",72.2,"28.0 - 75.9 (591)",5.4,61.4,8.5,4.5
06063,"""Plumas, (CA)""",76.5,"76.0 - 91.3 (584)",6.1,76.5,8.6,10.6
