"cnty_fips","display_name","Value","theme_range","home_val","income","GINI","povpct","unemploy"
02013,"""Aleutians East, (AK)""",-1,,123000,70000,0.399,15.5,3
02016,"""Aleutians West, (AK)""",-1,,248000,83000,0.363,10,3.5
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",308000,82000,0.425,9.5,5.5
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",110000,44000,0.445,32.7,12.8
02060,"""Bristol Bay, (AK)""",-1,,180000,77000,0.391,11.2,6.3
02068,"""Denali, (AK)""",-1,,204000,75000,0.363,6.9,7.8
02070,"""Dillingham, (AK)""",-1,,183000,55000,0.429,22,8.2
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",237000,74000,0.406,8.6,5.8
02100,"""Haines, (AK)""",-1,,258000,59000,0.38,10.5,9.5
02105,"""Hoonah-Angoon, (AK)""",-1,,229000,51000,0.391,17.2,12.6
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",344000,79000,0.395,7.3,4.4
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",240000,65000,0.432,12.4,7.7
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",272000,68000,0.416,9.1,6
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",275000,74000,0.387,8.2,5.8
02164,"""Lake and Peninsula, (AK)""",-1,,120000,49000,0.432,18.2,11.6
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",243000,75000,0.417,10.4,7.6
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",150000,55000,0.429,22,11.6
02185,"""North Slope, (AK)""",-1,,143000,89000,0.416,11.1,7
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",131000,59000,0.438,21.1,14.2
02195,"""Petersburg, (AK)""",-1,,213000,66000,0.439,7.2,8.7
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",173000,49000,0.414,16.5,10.9
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",349000,72000,0.422,7.7,4.2
02230,"""Skagway, (AK)""",-1,,315000,75000,0.322,4.3,9.8
02240,"""Southeast Fairbanks, (AK)""",-1,,184000,64000,0.386,13.4,9.6
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",230000,69000,0.423,9.7,7.4
02158,"""Kusilvak, (AK)""",-1,,76000,33000,0.431,35.1,19.9
02275,"""Wrangell, (AK)""",-1,,213000,58000,0.407,11.6,7
02282,"""Yakutat, (AK)""",-1,,169000,60000,0.35,13.1,8.2
02290,"""Yukon-Koyukuk, (AK)""",-1,,78000,39000,0.467,23.7,15.3
06001,"""Alameda, (CA)""",58,"28.0 - 75.9 (591)",708000,102000,0.462,9,3
06005,"""Amador, (CA)""",84.7,"76.0 - 91.3 (584)",296000,59000,0.444,11.8,4
06007,"""Butte, (CA)""",86.2,"76.0 - 91.3 (584)",248000,51000,0.489,18.5,5
06009,"""Calaveras, (CA)""",82.2,"76.0 - 91.3 (584)",298000,63000,0.446,12.1,4
06011,"""Colusa, (CA)""",83.6,"76.0 - 91.3 (584)",250000,57000,0.498,11,12.9
06013,"""Contra Costa, (CA)""",56.8,"28.0 - 75.9 (591)",582000,101000,0.47,7.8,3.2
06015,"""Del Norte, (CA)""",94.1,"91.4 - 108.6 (588)",204000,49000,0.486,20.4,5.5
06017,"""El Dorado, (CA)""",79.3,"76.0 - 91.3 (584)",437000,82000,0.449,8.1,3.6
06021,"""Glenn, (CA)""",79.2,"76.0 - 91.3 (584)",222000,47000,0.455,15.4,6.5
06023,"""Humboldt, (CA)""",110.1,"108.7 - 131.0 (582)",297000,49000,0.475,20.3,3.6
06031,"""Kings, (CA)""",111.3,"108.7 - 131.0 (582)",203000,58000,0.435,18.8,7.7
06033,"""Lake, (CA)""",97.6,"91.4 - 108.6 (588)",195000,45000,0.48,18.4,5.2
06035,"""Lassen, (CA)""",102.8,"91.4 - 108.6 (588)",184000,58000,0.423,15.8,4.8
06041,"""Marin, (CA)""",46.1,"28.0 - 75.9 (591)",959000,123000,0.516,6.6,2.4
06043,"""Mariposa, (CA)""",115.9,"108.7 - 131.0 (582)",270000,51000,0.435,14.9,5.3
06045,"""Mendocino, (CA)""",77.6,"76.0 - 91.3 (584)",357000,51000,0.474,17.5,3.9
06047,"""Merced, (CA)""",105.1,"91.4 - 108.6 (588)",230000,56000,0.471,21.2,8.3
06049,"""Modoc, (CA)""",80.1,"76.0 - 91.3 (584)",133000,45000,0.411,19.1,7.5
06053,"""Monterey, (CA)""",54.5,"28.0 - 75.9 (591)",477000,70000,0.462,13.3,6.3
06055,"""Napa, (CA)""",79.9,"76.0 - 91.3 (584)",604000,86000,0.472,8.8,2.9
06057,"""Nevada, (CA)""",80.3,"76.0 - 91.3 (584)",400000,67000,0.463,10.3,3.5
06061,"""Placer, (CA)""",72.2,"28.0 - 75.9 (591)",444000,89000,0.447,7.1,3.2
06063,"""Plumas, (CA)""",76.5,"76.0 - 91.3 (584)",235000,55000,0.455,12.5,7.5
