"cnty_fips","display_name","Value","theme_range","NCHS_collapse"
02013,"""Aleutians East, (AK)""",-1,,4
02016,"""Aleutians West, (AK)""",-1,,4
02020,"""Anchorage, (AK)""",64.2,"28.0 - 75.9 (591)",3
02050,"""Bethel, (AK)""",83.7,"76.0 - 91.3 (584)",4
02060,"""Bristol Bay, (AK)""",-1,,4
02068,"""Denali, (AK)""",-1,,4
02070,"""Dillingham, (AK)""",-1,,4
02090,"""Fairbanks North Star, (AK)""",73.9,"28.0 - 75.9 (591)",3
02100,"""Haines, (AK)""",-1,,4
02105,"""Hoonah-Angoon, (AK)""",-1,,4
02110,"""Juneau, (AK)""",76.6,"76.0 - 91.3 (584)",4
02122,"""Kenai Peninsula, (AK)""",87.3,"76.0 - 91.3 (584)",4
02130,"""Ketchikan Gateway, (AK)""",67.7,"28.0 - 75.9 (591)",4
02150,"""Kodiak Island, (AK)""",67.6,"28.0 - 75.9 (591)",4
02164,"""Lake and Peninsula, (AK)""",-1,,4
02170,"""Matanuska-Susitna, (AK)""",63.1,"28.0 - 75.9 (591)",3
02180,"""Nome, (AK)""",135.8,"131.1 - 349.8 (586)",4
02185,"""North Slope, (AK)""",-1,,4
02188,"""Northwest Arctic, (AK)""",141.7,"131.1 - 349.8 (586)",4
02195,"""Petersburg, (AK)""",-1,,4
02198,"""Prince of Wales-Hyder, (AK)""",128.6,"108.7 - 131.0 (582)",4
02220,"""Sitka, (AK)""",108.5,"91.4 - 108.6 (588)",4
02230,"""Skagway, (AK)""",-1,,4
02240,"""Southeast Fairbanks, (AK)""",-1,,4
02261,"""Valdez-Cordova, (AK)""",80.9,"76.0 - 91.3 (584)",4
02158,"""Kusilvak, (AK)""",-1,,-1
02275,"""Wrangell, (AK)""",-1,,4
02282,"""Yakutat, (AK)""",-1,,4
02290,"""Yukon-Koyukuk, (AK)""",-1,,4
06001,"""Alameda, (CA)""",58,"28.0 - 75.9 (591)",1
06005,"""Amador, (CA)""",84.7,"76.0 - 91.3 (584)",4
06007,"""Butte, (CA)""",86.2,"76.0 - 91.3 (584)",3
06009,"""Calaveras, (CA)""",82.2,"76.0 - 91.3 (584)",4
06011,"""Colusa, (CA)""",83.6,"76.0 - 91.3 (584)",4
06013,"""Contra Costa, (CA)""",56.8,"28.0 - 75.9 (591)",2
06015,"""Del Norte, (CA)""",94.1,"91.4 - 108.6 (588)",4
06017,"""El Dorado, (CA)""",79.3,"76.0 - 91.3 (584)",2
06021,"""Glenn, (CA)""",79.2,"76.0 - 91.3 (584)",4
06023,"""Humboldt, (CA)""",110.1,"108.7 - 131.0 (582)",4
06031,"""Kings, (CA)""",111.3,"108.7 - 131.0 (582)",3
06033,"""Lake, (CA)""",97.6,"91.4 - 108.6 (588)",4
06035,"""Lassen, (CA)""",102.8,"91.4 - 108.6 (588)",4
06041,"""Marin, (CA)""",46.1,"28.0 - 75.9 (591)",2
06043,"""Mariposa, (CA)""",115.9,"108.7 - 131.0 (582)",4
06045,"""Mendocino, (CA)""",77.6,"76.0 - 91.3 (584)",4
06047,"""Merced, (CA)""",105.1,"91.4 - 108.6 (588)",3
06049,"""Modoc, (CA)""",80.1,"76.0 - 91.3 (584)",4
06053,"""Monterey, (CA)""",54.5,"28.0 - 75.9 (591)",3
06055,"""Napa, (CA)""",79.9,"76.0 - 91.3 (584)",3
06057,"""Nevada, (CA)""",80.3,"76.0 - 91.3 (584)",4
06061,"""Placer, (CA)""",72.2,"28.0 - 75.9 (591)",2
06063,"""Plumas, (CA)""",76.5,"76.0 - 91.3 (584)",4
06067,"""Sacramento, (CA)""",91.9,"91.4 - 108.6 (588)",1
06069,"""San Benito, (CA)""",67.5,"28.0 - 75.9 (591)",2
06075,"""San Francisco, (CA)""",56.3,"28.0 - 75.9 (591)",1
06077,"""San Joaquin, (CA)""",88.1,"76.0 - 91.3 (584)",3
06079,"""San Luis Obispo, (CA)""",66.3,"28.0 - 75.9 (591)",3
06081,"""San Mateo, (CA)""",54.5,"28.0 - 75.9 (591)",2
06083,"""Santa Barbara, (CA)""",70.3,"28.0 - 75.9 (591)",3
06085,"""Santa Clara, (CA)""",56.4,"28.0 - 75.9 (591)",1
06087,"""Santa Cruz, (CA)""",56.6,"28.0 - 75.9 (591)",3
06089,"""Shasta, (CA)""",114.5,"108.7 - 131.0 (582)",3
06091,"""Sierra, (CA)""",-1,,4
06093,"""Siskiyou, (CA)""",90.6,"76.0 - 91.3 (584)",4
06095,"""Solano, (CA)""",65.2,"28.0 - 75.9 (591)",3
06097,"""Sonoma, (CA)""",71.7,"28.0 - 75.9 (591)",3
06099,"""Stanislaus, (CA)""",124,"108.7 - 131.0 (582)",3
06101,"""Sutter, (CA)""",111.4,"108.7 - 131.0 (582)",3
06103,"""Tehama, (CA)""",118.4,"108.7 - 131.0 (582)",4
06105,"""Trinity, (CA)""",77.2,"76.0 - 91.3 (584)",4
06109,"""Tuolumne, (CA)""",103,"91.4 - 108.6 (588)",4
06113,"""Yolo, (CA)""",67.6,"28.0 - 75.9 (591)",2
06115,"""Yuba, (CA)""",136.6,"131.1 - 349.8 (586)",3
15001,"""Hawaii, (HI)""",75.3,"28.0 - 75.9 (591)",4
15003,"""Honolulu, (HI)""",66.1,"28.0 - 75.9 (591)",3
15005,"""Kalawao, (HI)""",-1,,3
15007,"""Kauai, (HI)""",62.8,"28.0 - 75.9 (591)",4
15009,"""Maui, (HI)""",58.7,"28.0 - 75.9 (591)",3
41003,"""Benton, (OR)""",53.4,"28.0 - 75.9 (591)",3
41005,"""Clackamas, (OR)""",52.1,"28.0 - 75.9 (591)",2
41007,"""Clatsop, (OR)""",89.3,"76.0 - 91.3 (584)",4
41009,"""Columbia, (OR)""",71.3,"28.0 - 75.9 (591)",2
41011,"""Coos, (OR)""",93.8,"91.4 - 108.6 (588)",4
41013,"""Crook, (OR)""",96.1,"91.4 - 108.6 (588)",4
41015,"""Curry, (OR)""",91.3,"76.0 - 91.3 (584)",4
41017,"""Deschutes, (OR)""",67.1,"28.0 - 75.9 (591)",3
41019,"""Douglas, (OR)""",80,"76.0 - 91.3 (584)",4
41021,"""Gilliam, (OR)""",-1,,4
41027,"""Hood River, (OR)""",67.5,"28.0 - 75.9 (591)",4
41029,"""Jackson, (OR)""",55.9,"28.0 - 75.9 (591)",3
41031,"""Jefferson, (OR)""",87.6,"76.0 - 91.3 (584)",4
41033,"""Josephine, (OR)""",60.1,"28.0 - 75.9 (591)",3
41035,"""Klamath, (OR)""",80.5,"76.0 - 91.3 (584)",4
41037,"""Lake, (OR)""",68.2,"28.0 - 75.9 (591)",4
41039,"""Lane, (OR)""",56.2,"28.0 - 75.9 (591)",3
41041,"""Lincoln, (OR)""",70.5,"28.0 - 75.9 (591)",4
41043,"""Linn, (OR)""",87.5,"76.0 - 91.3 (584)",3
41047,"""Marion, (OR)""",63.7,"28.0 - 75.9 (591)",3
41051,"""Multnomah, (OR)""",64,"28.0 - 75.9 (591)",1
41053,"""Polk, (OR)""",49.5,"28.0 - 75.9 (591)",3
41055,"""Sherman, (OR)""",-1,,4
41057,"""Tillamook, (OR)""",68.8,"28.0 - 75.9 (591)",4
41065,"""Wasco, (OR)""",79.5,"76.0 - 91.3 (584)",4
41067,"""Washington, (OR)""",50.1,"28.0 - 75.9 (591)",2
41069,"""Wheeler, (OR)""",-1,,4
41071,"""Yamhill, (OR)""",74.7,"28.0 - 75.9 (591)",2
53007,"""Chelan, (WA)""",54.9,"28.0 - 75.9 (591)",3
53009,"""Clallam, (WA)""",72.2,"28.0 - 75.9 (591)",4
53011,"""Clark, (WA)""",67.8,"28.0 - 75.9 (591)",2
53015,"""Cowlitz, (WA)""",103.3,"91.4 - 108.6 (588)",3
53027,"""Grays Harbor, (WA)""",94.1,"91.4 - 108.6 (588)",4
53029,"""Island, (WA)""",84.3,"76.0 - 91.3 (584)",4
53031,"""Jefferson, (WA)""",72.3,"28.0 - 75.9 (591)",4
53033,"""King, (WA)""",68.2,"28.0 - 75.9 (591)",1
53035,"""Kitsap, (WA)""",80.5,"76.0 - 91.3 (584)",3
53037,"""Kittitas, (WA)""",79.3,"76.0 - 91.3 (584)",4
53039,"""Klickitat, (WA)""",62.2,"28.0 - 75.9 (591)",4
53041,"""Lewis, (WA)""",108.8,"108.7 - 131.0 (582)",4
53045,"""Mason, (WA)""",70.4,"28.0 - 75.9 (591)",4
53047,"""Okanogan, (WA)""",89.3,"76.0 - 91.3 (584)",4
53049,"""Pacific, (WA)""",165.3,"131.1 - 349.8 (586)",4
53053,"""Pierce, (WA)""",100.8,"91.4 - 108.6 (588)",2
53055,"""San Juan, (WA)""",32.1,"28.0 - 75.9 (591)",4
53057,"""Skagit, (WA)""",72.6,"28.0 - 75.9 (591)",3
53059,"""Skamania, (WA)""",60.9,"28.0 - 75.9 (591)",2
53061,"""Snohomish, (WA)""",74.7,"28.0 - 75.9 (591)",2
53067,"""Thurston, (WA)""",76,"76.0 - 91.3 (584)",3
53069,"""Wahkiakum, (WA)""",89.1,"76.0 - 91.3 (584)",4
53073,"""Whatcom, (WA)""",73.3,"28.0 - 75.9 (591)",3
53077,"""Yakima, (WA)""",67.2,"28.0 - 75.9 (591)",3
04001,"""Apache, (AZ)""",101.2,"91.4 - 108.6 (588)",4
04003,"""Cochise, (AZ)""",104.2,"91.4 - 108.6 (588)",3
04005,"""Coconino, (AZ)""",81.6,"76.0 - 91.3 (584)",3
04007,"""Gila, (AZ)""",133.8,"131.1 - 349.8 (586)",4
04009,"""Graham, (AZ)""",88.3,"76.0 - 91.3 (584)",4
04011,"""Greenlee, (AZ)""",93.8,"91.4 - 108.6 (588)",4
04012,"""La Paz, (AZ)""",147.6,"131.1 - 349.8 (586)",4
04013,"""Maricopa, (AZ)""",80.5,"76.0 - 91.3 (584)",1
04015,"""Mohave, (AZ)""",169.6,"131.1 - 349.8 (586)",3
04017,"""Navajo, (AZ)""",90.7,"76.0 - 91.3 (584)",4
04019,"""Pima, (AZ)""",86.6,"76.0 - 91.3 (584)",3
04021,"""Pinal, (AZ)""",71.2,"28.0 - 75.9 (591)",2
04023,"""Santa Cruz, (AZ)""",78.1,"76.0 - 91.3 (584)",4
04025,"""Yavapai, (AZ)""",89,"76.0 - 91.3 (584)",3
04027,"""Yuma, (AZ)""",89.7,"76.0 - 91.3 (584)",3
06003,"""Alpine, (CA)""",-1,,4
06019,"""Fresno, (CA)""",105.6,"91.4 - 108.6 (588)",3
06025,"""Imperial, (CA)""",76.9,"76.0 - 91.3 (584)",3
06027,"""Inyo, (CA)""",67.8,"28.0 - 75.9 (591)",4
06029,"""Kern, (CA)""",127.3,"108.7 - 131.0 (582)",3
06037,"""Los Angeles, (CA)""",101.7,"91.4 - 108.6 (588)",1
06039,"""Madera, (CA)""",84.7,"76.0 - 91.3 (584)",3
06051,"""Mono, (CA)""",40.7,"28.0 - 75.9 (591)",4
06059,"""Orange, (CA)""",76.1,"76.0 - 91.3 (584)",1
06065,"""Riverside, (CA)""",108.7,"108.7 - 131.0 (582)",1
06071,"""San Bernardino, (CA)""",105.8,"91.4 - 108.6 (588)",2
06073,"""San Diego, (CA)""",76.3,"76.0 - 91.3 (584)",1
06107,"""Tulare, (CA)""",120.5,"108.7 - 131.0 (582)",3
06111,"""Ventura, (CA)""",79.4,"76.0 - 91.3 (584)",3
08007,"""Archuleta, (CO)""",55.6,"28.0 - 75.9 (591)",4
08029,"""Delta, (CO)""",87.9,"76.0 - 91.3 (584)",4
08033,"""Dolores, (CO)""",-1,,4
08045,"""Garfield, (CO)""",71.5,"28.0 - 75.9 (591)",4
08051,"""Gunnison, (CO)""",-1,,4
08053,"""Hinsdale, (CO)""",-1,,4
08067,"""La Plata, (CO)""",62,"28.0 - 75.9 (591)",4
08077,"""Mesa, (CO)""",106.7,"91.4 - 108.6 (588)",3
08079,"""Mineral, (CO)""",-1,,4
08081,"""Moffat, (CO)""",92.4,"91.4 - 108.6 (588)",4
08083,"""Montezuma, (CO)""",76.8,"76.0 - 91.3 (584)",4
08085,"""Montrose, (CO)""",78.5,"76.0 - 91.3 (584)",4
08091,"""Ouray, (CO)""",-1,,4
08097,"""Pitkin, (CO)""",-1,,4
08103,"""Rio Blanco, (CO)""",-1,,4
08107,"""Routt, (CO)""",38.8,"28.0 - 75.9 (591)",4
08111,"""San Juan, (CO)""",-1,,4
08113,"""San Miguel, (CO)""",-1,,4
16001,"""Ada, (ID)""",69.9,"28.0 - 75.9 (591)",3
16005,"""Bannock, (ID)""",66.7,"28.0 - 75.9 (591)",3
16007,"""Bear Lake, (ID)""",126.2,"108.7 - 131.0 (582)",4
16011,"""Bingham, (ID)""",96.3,"91.4 - 108.6 (588)",4
16013,"""Blaine, (ID)""",29.8,"28.0 - 75.9 (591)",4
16015,"""Boise, (ID)""",-1,,3
16019,"""Bonneville, (ID)""",100.5,"91.4 - 108.6 (588)",3
16023,"""Butte, (ID)""",-1,,3
16025,"""Camas, (ID)""",-1,,4
16027,"""Canyon, (ID)""",103.4,"91.4 - 108.6 (588)",3
16029,"""Caribou, (ID)""",-1,,4
16031,"""Cassia, (ID)""",80.1,"76.0 - 91.3 (584)",4
16033,"""Clark, (ID)""",-1,,4
16037,"""Custer, (ID)""",-1,,4
16039,"""Elmore, (ID)""",82.7,"76.0 - 91.3 (584)",4
