cnty_fips,display_name,choladh_all,Diuretic only,Renin-Angiotensin System only,neuro_dr,surg_dr,Completion Rate Among Initiators,Mean Number of Sessions Used Among Initiators,Pharmacies and Drug Stores (#),cr_elig_all,cr_part_all,pharmpc,stg_hosp,prim_dr,cvd_dr,pctui,medicaid,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,airqual,PARKS,sev_housing,no_hsdip,no_college,female_hd,foodstmp,home_val,income,GINI,povpct,unemploy,NCHS_collapse,prev_hd,total_cost,inp_cost,ou_cost,pac_cost,total_inc,inp_inc,ou_inc,pac_inc,Value
2013,"""Aleutians East, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,27.9,9.8,13,49.9,29.9,38.5,26.3,3.4,15,10.1,8.8,3425,-1,0,14.8,13.6,87.3,13.1,3.2,123000,70000,0.399,15.5,3,4,28.4,23658,11335,6015,1257,19576,10739,4298,931,26.6
2016,"""Aleutians West, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,2.9,-1,20.2,6,10.7,44.1,30.3,11,42,4.2,24.1,13.8,5.8,5750,-1,0,21.3,11.2,83.6,10.1,1.8,248000,83000,0.363,10,3.5,4,26.4,12394,4159,4169,0,9477,3405,3030,62,126.2
2020,"""Anchorage, (AK)""",19.4,26.1,21.7,26.8,29.4,29.6,22.1,5.1,9.3,23.3,5.1,4,0.9,14.7,12.7,19.3,8.2,31.7,17.8,6.9,11.6,5.2,58.4,9,10,296112,-1,79,16.6,6.2,64.7,11.5,9.4,308000,82000,0.425,9.5,5.5,3,26.6,16889,7166,2932,1677,12097,5953,1949,1220,126.2
2050,"""Bethel, (AK)""",60.9,47.1,52.7,-1,-1,-1,-1,0,8.1,-1,0,1,1,-1,19.8,49.2,7,30.8,31.3,82.2,1,0.6,9.9,2.3,7.1,18040,-1,0,60.2,18.6,87.7,19.3,41.7,110000,44000,0.445,32.7,12.8,4,19,24668,9813,6246,1857,17961,7985,3635,1586,150.6
2060,"""Bristol Bay, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,17.4,13.9,13.7,41.3,28.1,32.6,0.5,0.4,53.9,3.5,9.6,890,-1,1,13.8,5.6,77.7,9.3,6.1,180000,77000,0.391,11.2,6.3,4,34.9,16379,6446,4315,600,11296,5439,2786,19,-1
2068,"""Denali, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,14,8.3,5.1,24.7,18.2,1.9,4.5,0.8,81,0.4,7.3,2232,-1,16,27.8,1.6,56.5,6.3,4.6,204000,75000,0.363,6.9,7.8,4,23,10752,4214,3249,0,7544,3726,2207,171,124.3
2070,"""Dillingham, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0.4,-1,17.4,40,10.5,35.2,23.9,71,1.5,1.3,15.8,3.4,8.6,4975,-1,5,38,12.7,80.7,19.8,23.4,183000,55000,0.429,22,8.2,4,22.5,28813,10524,4601,6966,24016,9116,2987,6923,147.7
2090,"""Fairbanks North Star, (AK)""",18.6,25.7,18.5,33.2,99.7,42.8,28.1,7,8.1,45.1,7,2,1.3,49.9,13.2,12.9,7.1,30,18.7,6.7,3.4,4.2,70.4,7.9,9.2,99653,-1,30,23,5.5,67.4,8.3,6.2,237000,74000,0.406,8.6,5.8,3,26.5,12996,4829,3156,931,8836,3836,2061,746,146.6
2100,"""Haines, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0.4,-1,18,17.8,5.5,26.4,19.3,8.4,3,0,77.7,3.8,24.4,2518,-1,0,23.1,3,62.6,4.4,6.9,258000,59000,0.38,10.5,9.5,4,28.3,21862,6592,7234,2387,15003,5417,3978,1690,140.6
2105,"""Hoonah-Angoon, (AK)""",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,22.9,26.9,11.1,31.5,17.2,36,2.9,3,43.1,6.6,19.5,2132,-1,6,-1,8.5,76.6,11.9,18.5,229000,51000,0.391,17.2,12.6,4,21.4,21751,7001,6934,1797,15559,6231,4410,528,158.7
