cholestrol_all,Diuretic only,Renin-Angiotensin System only,Cardiac Rehabilitation Eligibility,pharm_count,stg_hosp,hospitals_count,Health_insurance,medicaid,Diabetes percentage,Obesity percentage,LesiureTimePhysicalActivity,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,airqual,PARKS,Severe Housing Problems,no_hishschool,no_college,female_hd,foodstmp,home_val,income,GINI,povpct,unemploy,urban/rural status,prev_hd,total_cost,inpatient_cost,out_patient_cost,post_acute_care_cost,total_incremental,inpatient_incremental_cost,outpatient_incremental_cost,post_acute_care_incremental_cost,Value
15.2,23.8,16.9,8.7,10,12,0.9,5.8,26,6.7,19.2,14.5,0.3,30.1,10.4,31.8,22.4,13.1,1643700,10.4,85,24.3,12,54,11.5,6.7,708000,102000,0.462,9,3,1,28,20204,7256,2591,4162,14766,6151,1573,3310,113.2
15.4,24.5,17.5,11.7,7.8,1,1.5,6.2,19.8,10.4,29.8,22.8,0.7,1.4,1.9,78.6,13.5,26.3,37829,8.9,3,21.2,9.7,79.7,7.2,8.7,296000,59000,0.444,11.8,4,4,30.5,16180,6061,2816,2490,10811,4827,1588,1883,171.4
18.7,29.7,20.4,10.8,11.3,4,1.6,7.2,39.2,8.7,27.2,21.6,0.7,4.5,1.4,72.3,16,17.7,227075,8.9,26,23.1,10.7,73.5,11.4,13.8,248000,51000,0.489,18.5,5,3,29.9,20378,8342,3760,3511,14019,6725,2240,2642,168.6
17,27,18.8,11.2,8.8,1,2.3,7.3,22.6,8.3,30.4,28.6,0.8,1.5,0.6,81.5,11.7,27,45235,9,13,20.3,9.6,81.3,10,11.1,298000,63000,0.446,12.1,4,4,30.5,17879,6214,4756,2282,12152,5196,2646,1755,166.7
20.2,27.1,21,11.6,13.8,0,3.1,10.7,39.1,20.1,40.6,27.2,0.7,1.7,1.2,35.7,58.9,13.8,21464,8.7,9,19.7,30.6,84.6,11.2,6.4,250000,57000,0.498,11,12.9,4,28,17869,7470,3564,2118,12914,6372,2110,1659,164.8
15.4,24.3,16.8,8.4,10.5,7,1,5.9,21.4,7.8,23.8,15.9,0.2,16.5,8.2,44.3,25.4,15,1133247,11.6,68,22.3,10.6,58.3,12.2,5.8,582000,101000,0.47,7.8,3.2,2,27.6,19449,7125,2579,3077,13750,5938,1618,2428,110.8
17.1,25.9,18.5,14.2,0,1,1.6,6.2,40.7,8.9,34.4,24,6.7,3.4,2.7,62.6,19.4,16.7,27424,8.5,13,25,19,85.7,14,18.8,204000,49000,0.486,20.4,5.5,4,33.1,16196,6656,3136,2226,11560,5570,1730,1811,178.5
14.5,24.6,16.6,11.2,11.1,2,1.2,5.4,16.8,6.2,21.5,17.1,0.5,4.6,0.7,78.2,12.6,19.7,186661,9.3,28,21.5,6.9,66.3,7.9,6.8,437000,82000,0.449,8.1,3.6,2,28.8,17094,6234,3809,2011,11391,5022,2248,1512,157.2
18.6,28.1,22.4,9.6,14.2,1,5.6,11,41.1,8.5,32.1,18.7,1.4,3,0.7,52,41.2,15.4,27897,9.1,29,21.2,24.7,86.1,12.2,12.8,222000,47000,0.455,15.4,6.5,4,28.4,19319,7306,3869,3516,13484,5919,2318,2703,164.4
16.3,26,18.5,13,18.3,4,1.4,8.9,37.8,7.9,28.9,16.5,4.3,3.2,0.9,74.6,11.3,16.7,135768,8.8,49,25.5,9.7,70.2,11.1,15.1,297000,49000,0.475,20.3,3.6,4,29,17211,6568,3722,2656,12590,5526,2361,2150,209.2
