"cnty_fips","display_name","Value","theme_range","prev_hd"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",28.4
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",26.4
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",26.6
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",19
02060,"""Bristol Bay, (AK)""",-1,,34.9
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",23
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",22.5
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",26.5
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",28.3
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",21.4
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",24.9
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",29.5
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",27.7
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",24.4
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",25.3
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",28.1
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",28.1
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",33.9
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",38.1
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",28.2
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",29.9
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",26.2
02230,"""Skagway, (AK)""",-1,,30.1
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",27.6
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",27
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",23.7
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",31.7
02282,"""Yakutat, (AK)""",-1,,32.4
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",29.8
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",28
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",30.5
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",29.9
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",30.5
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",28
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",27.6
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",33.1
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",28.8
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",28.4
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",29
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",40.9
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",35.6
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",31.6
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",28.5
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",33.8
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",25.7
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",39.9
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",30.2
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",29
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",32.6
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",27.9
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",29.5
06063,"""Plumas, (CA)""",167.8,"148.7 - 175.5 (644)",26.5
06067,"""Sacramento, (CA)""",179,"175.6 - 204.1 (644)",30.2
06069,"""San Benito, (CA)""",131.5,"26.6 - 148.6 (644)",30.2
06075,"""San Francisco, (CA)""",108.4,"26.6 - 148.6 (644)",24.3
06077,"""San Joaquin, (CA)""",171.8,"148.7 - 175.5 (644)",35.4
06079,"""San Luis Obispo, (CA)""",129.6,"26.6 - 148.6 (644)",29.1
06081,"""San Mateo, (CA)""",109.4,"26.6 - 148.6 (644)",25.7
06083,"""Santa Barbara, (CA)""",137.8,"26.6 - 148.6 (644)",28.7
06085,"""Santa Clara, (CA)""",110.2,"26.6 - 148.6 (644)",27.7
06087,"""Santa Cruz, (CA)""",109.4,"26.6 - 148.6 (644)",25.7
06089,"""Shasta, (CA)""",221.9,"204.2 - 242.8 (644)",31.2
06091,"""Sierra, (CA)""",218,"204.2 - 242.8 (644)",25.1
06093,"""Siskiyou, (CA)""",174.5,"148.7 - 175.5 (644)",27.7
06095,"""Solano, (CA)""",128.2,"26.6 - 148.6 (644)",26.5
06097,"""Sonoma, (CA)""",140.1,"26.6 - 148.6 (644)",30.9
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",35.3
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",40.3
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",29.7
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",29.7
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",28.1
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",27
