"cnty_fips","display_name","Value","theme_range","total_cost"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",23658
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",12394
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",16889
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",24668
02060,"""Bristol Bay, (AK)""",-1,,16379
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",10752
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",28813
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",12996
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",21862
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",21751
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",16235
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",18183
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",23950
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",18016
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",30215
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",17259
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",24423
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",36976
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",19770
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",20162
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",22171
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",24269
02230,"""Skagway, (AK)""",-1,,23106
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",11494
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",20145
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",20061
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",21795
02282,"""Yakutat, (AK)""",-1,,14485
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",15250
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",20204
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",16180
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",20378
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",17879
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",17869
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",19449
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",16196
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",17094
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",19319
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",17211
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",16573
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",23072
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",18702
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",15533
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",15947
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",18786
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",17514
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",15913
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",17536
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",17040
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",16277
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",16600
06063,"""Plumas, (CA)""",167.8,"148.7 - 175.5 (644)",18493
06067,"""Sacramento, (CA)""",179,"175.6 - 204.1 (644)",18964
06069,"""San Benito, (CA)""",131.5,"26.6 - 148.6 (644)",17573
06075,"""San Francisco, (CA)""",108.4,"26.6 - 148.6 (644)",18830
06077,"""San Joaquin, (CA)""",171.8,"148.7 - 175.5 (644)",17972
06079,"""San Luis Obispo, (CA)""",129.6,"26.6 - 148.6 (644)",14758
06081,"""San Mateo, (CA)""",109.4,"26.6 - 148.6 (644)",17316
06083,"""Santa Barbara, (CA)""",137.8,"26.6 - 148.6 (644)",16255
06085,"""Santa Clara, (CA)""",110.2,"26.6 - 148.6 (644)",18292
06087,"""Santa Cruz, (CA)""",109.4,"26.6 - 148.6 (644)",16746
06089,"""Shasta, (CA)""",221.9,"204.2 - 242.8 (644)",17421
06091,"""Sierra, (CA)""",218,"204.2 - 242.8 (644)",17469
06093,"""Siskiyou, (CA)""",174.5,"148.7 - 175.5 (644)",16431
06095,"""Solano, (CA)""",128.2,"26.6 - 148.6 (644)",20150
06097,"""Sonoma, (CA)""",140.1,"26.6 - 148.6 (644)",17166
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",18642
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",15623
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",17392
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",18501
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",17758
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",17372
06115,"""Yuba, (CA)""",254.9,"242.9 - 651.5 (644)",18633
15001,"""Hawaii, (HI)""",139.8,"26.6 - 148.6 (644)",14683
15003,"""Honolulu, (HI)""",128.7,"26.6 - 148.6 (644)",16139
15005,"""Kalawao, (HI)""",113.5,"26.6 - 148.6 (644)",-9999
15007,"""Kauai, (HI)""",126.5,"26.6 - 148.6 (644)",17355
15009,"""Maui, (HI)""",120.6,"26.6 - 148.6 (644)",13681
41003,"""Benton, (OR)""",106.8,"26.6 - 148.6 (644)",14914
41005,"""Clackamas, (OR)""",102.9,"26.6 - 148.6 (644)",17501
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",21211
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",16730
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",16524
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",16377
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",17055
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",13413
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",14691
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",14298
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",16481
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",16835
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",15810
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",15955
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",16348
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",16657
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",17316
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",16820
