"cnty_fips","display_name","Value","theme_range","ou_cost"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",6015
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",4169
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",2932
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",6246
02060,"""Bristol Bay, (AK)""",-1,,4315
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",3249
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",4601
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",3156
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",7234
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",6934
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",4022
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",5388
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",9819
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",6641
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",6673
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",2781
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",12396
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",13855
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",5812
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",6373
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",5889
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",8913
02230,"""Skagway, (AK)""",-1,,4630
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",2550
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",5728
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",4870
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",9772
02282,"""Yakutat, (AK)""",-1,,2701
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",3572
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",2591
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",2816
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",3760
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",4756
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",3564
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",2579
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",3136
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",3809
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",3869
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",3722
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",2559
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",8038
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",4454
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",3043
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",3945
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",5803
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",2430
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",5442
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",2872
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",3689
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",3965
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",3105
06063,"""Plumas, (CA)""",167.8,"148.7 - 175.5 (644)",6299
06067,"""Sacramento, (CA)""",179,"175.6 - 204.1 (644)",2786
06069,"""San Benito, (CA)""",131.5,"26.6 - 148.6 (644)",2808
06075,"""San Francisco, (CA)""",108.4,"26.6 - 148.6 (644)",3197
06077,"""San Joaquin, (CA)""",171.8,"148.7 - 175.5 (644)",2396
06079,"""San Luis Obispo, (CA)""",129.6,"26.6 - 148.6 (644)",2562
06081,"""San Mateo, (CA)""",109.4,"26.6 - 148.6 (644)",3278
06083,"""Santa Barbara, (CA)""",137.8,"26.6 - 148.6 (644)",2543
06085,"""Santa Clara, (CA)""",110.2,"26.6 - 148.6 (644)",2893
06087,"""Santa Cruz, (CA)""",109.4,"26.6 - 148.6 (644)",2476
06089,"""Shasta, (CA)""",221.9,"204.2 - 242.8 (644)",2717
06091,"""Sierra, (CA)""",218,"204.2 - 242.8 (644)",4207
06093,"""Siskiyou, (CA)""",174.5,"148.7 - 175.5 (644)",5496
06095,"""Solano, (CA)""",128.2,"26.6 - 148.6 (644)",2789
06097,"""Sonoma, (CA)""",140.1,"26.6 - 148.6 (644)",3433
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",2834
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",2422
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",3757
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",3753
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",5147
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",3014
06115,"""Yuba, (CA)""",254.9,"242.9 - 651.5 (644)",2984
15001,"""Hawaii, (HI)""",139.8,"26.6 - 148.6 (644)",2709
15003,"""Honolulu, (HI)""",128.7,"26.6 - 148.6 (644)",2895
15005,"""Kalawao, (HI)""",113.5,"26.6 - 148.6 (644)",-9999
15007,"""Kauai, (HI)""",126.5,"26.6 - 148.6 (644)",3141
15009,"""Maui, (HI)""",120.6,"26.6 - 148.6 (644)",2461
41003,"""Benton, (OR)""",106.8,"26.6 - 148.6 (644)",4141
41005,"""Clackamas, (OR)""",102.9,"26.6 - 148.6 (644)",3437
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",8929
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",3198
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",4338
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",4904
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",4944
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",2349
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",3404
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",4633
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",5509
