"cnty_fips","display_name","Value","theme_range","pac_cost"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",1257
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",0
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",1677
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",1857
02060,"""Bristol Bay, (AK)""",-1,,600
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",0
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",6966
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",931
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",2387
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",1797
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",2244
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",1722
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",1732
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",2443
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",2816
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",1832
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",1104
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",9436
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",217
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",3493
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",2938
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",6094
02230,"""Skagway, (AK)""",-1,,2027
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",710
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",3577
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",625
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",3376
02282,"""Yakutat, (AK)""",-1,,4564
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",873
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",4162
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",2490
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",3511
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",2282
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",2118
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",3077
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",2226
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",2011
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",3516
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",2656
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",2674
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",2839
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",2582
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",2337
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",1958
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",2773
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",2568
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",1365
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",2838
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",1832
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",1905
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",2325
