"cnty_fips","display_name","Value","theme_range","total_inc"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",19576
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",9477
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",12097
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",17961
02060,"""Bristol Bay, (AK)""",-1,,11296
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",7544
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",24016
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",8836
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",15003
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",15559
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",10189
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",12802
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",17689
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",10695
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",23975
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",12519
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",14475
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",26384
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",12811
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",14094
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",16018
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",14960
02230,"""Skagway, (AK)""",-1,,18447
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",8110
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",12711
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",14320
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",15739
02282,"""Yakutat, (AK)""",-1,,2073
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",10777
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",14766
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",10811
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",14019
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",12152
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",12914
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",13750
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",11560
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",11391
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",13484
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",12590
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",12110
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",17327
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",13281
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",9752
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",10829
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",13070
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",12935
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",10878
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",12455
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",11715
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",11017
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",10496
06063,"""Plumas, (CA)""",167.8,"148.7 - 175.5 (644)",12655
06067,"""Sacramento, (CA)""",179,"175.6 - 204.1 (644)",13827
06069,"""San Benito, (CA)""",131.5,"26.6 - 148.6 (644)",12314
06075,"""San Francisco, (CA)""",108.4,"26.6 - 148.6 (644)",13806
06077,"""San Joaquin, (CA)""",171.8,"148.7 - 175.5 (644)",13070
06079,"""San Luis Obispo, (CA)""",129.6,"26.6 - 148.6 (644)",8919
06081,"""San Mateo, (CA)""",109.4,"26.6 - 148.6 (644)",12122
06083,"""Santa Barbara, (CA)""",137.8,"26.6 - 148.6 (644)",10660
06085,"""Santa Clara, (CA)""",110.2,"26.6 - 148.6 (644)",13015
06087,"""Santa Cruz, (CA)""",109.4,"26.6 - 148.6 (644)",11656
06089,"""Shasta, (CA)""",221.9,"204.2 - 242.8 (644)",12059
06091,"""Sierra, (CA)""",218,"204.2 - 242.8 (644)",12033
06093,"""Siskiyou, (CA)""",174.5,"148.7 - 175.5 (644)",10880
06095,"""Solano, (CA)""",128.2,"26.6 - 148.6 (644)",15342
06097,"""Sonoma, (CA)""",140.1,"26.6 - 148.6 (644)",11705
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",13422
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",10724
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",12205
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",13923
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",11858
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",12328
06115,"""Yuba, (CA)""",254.9,"242.9 - 651.5 (644)",13548
15001,"""Hawaii, (HI)""",139.8,"26.6 - 148.6 (644)",10660
15003,"""Honolulu, (HI)""",128.7,"26.6 - 148.6 (644)",11681
15005,"""Kalawao, (HI)""",113.5,"26.6 - 148.6 (644)",-9999
15007,"""Kauai, (HI)""",126.5,"26.6 - 148.6 (644)",12617
15009,"""Maui, (HI)""",120.6,"26.6 - 148.6 (644)",9464
41003,"""Benton, (OR)""",106.8,"26.6 - 148.6 (644)",9632
41005,"""Clackamas, (OR)""",102.9,"26.6 - 148.6 (644)",12087
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",14917
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",11583
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",11158
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",10420
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",11708
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",7926
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",9897
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",9383
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",10492
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",11498
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",10163
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",11131
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",11470
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",9752
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",12196
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",11270
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",11973
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",11893
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",13631
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",12032
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",15363
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",12590
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",10660
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",11873
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",10124
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",11606
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",11122
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",10874
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",12524
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",12094
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",13036
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",11453
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",10479
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",12624
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",11727
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",10110
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",12980
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",12358
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",11481
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",13238
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",13883
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",12890
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",12402
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",12047
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",12642
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",12818
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",11516
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",10113
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",10949
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",12309
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",16392
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",12623
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",12186
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",14328
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",12102
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",14825
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",14451
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",12717
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",12376
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",13580
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",11336
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",13598
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",11197
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",10233
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",14382
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",9990
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",12166
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",16429
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",15713
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",14289
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",17467
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",11321
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",10672
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",13642
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",14414
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",17659
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",14926
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",12504
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",13111
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",9313
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",9936
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",8924
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",12064
