"cnty_fips","display_name","Value","theme_range","inp_inc"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",10739
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",3405
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",5953
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",7985
02060,"""Bristol Bay, (AK)""",-1,,5439
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",3726
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",9116
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",3836
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",5417
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",6231
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",4022
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",5298
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",6878
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",2879
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",10707
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",6019
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",6834
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",6291
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",5776
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",5429
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",6465
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",3940
02230,"""Skagway, (AK)""",-1,,9793
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",3186
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",5869
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",5148
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",3251
02282,"""Yakutat, (AK)""",-1,,83
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",4016
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",6151
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",4827
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",6725
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",5196
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",6372
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",5938
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",5570
