"cnty_fips","display_name","Value","theme_range","ou_inc"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",4298
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",3030
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",1949
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",3635
02060,"""Bristol Bay, (AK)""",-1,,2786
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",2207
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",2987
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",2061
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",3978
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",4410
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",2221
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",3324
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",6348
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",3989
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",4568
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",1929
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",6592
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",7466
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",2323
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",3250
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",3165
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",4660
02230,"""Skagway, (AK)""",-1,,2731
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",1708
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",3490
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",2927
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",6488
02282,"""Yakutat, (AK)""",-1,,1124
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",2380
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",1573
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",1588
