"cnty_fips","display_name","Value","theme_range","pac_inc"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",931
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",62
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",1220
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",1586
02060,"""Bristol Bay, (AK)""",-1,,19
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",171
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",6923
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",746
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",1690
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",528
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",1692
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",1319
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",1322
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",1311
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",2595
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",1509
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",112
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",9326
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",192
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",2395
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",2636
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",3730
02230,"""Skagway, (AK)""",-1,,1936
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",509
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",1336
02158,"""Kusilvak, (AK)""",72.5,"26.6 - 148.6 (644)",574
02275,"""Wrangell, (AK)""",132.2,"26.6 - 148.6 (644)",3372
02282,"""Yakutat, (AK)""",-1,,561
02290,"""Yukon-Koyukuk, (AK)""",144.3,"26.6 - 148.6 (644)",836
06001,"""Alameda, (CA)""",113.2,"26.6 - 148.6 (644)",3310
06005,"""Amador, (CA)""",171.4,"148.7 - 175.5 (644)",1883
06007,"""Butte, (CA)""",168.6,"148.7 - 175.5 (644)",2642
06009,"""Calaveras, (CA)""",166.7,"148.7 - 175.5 (644)",1755
06011,"""Colusa, (CA)""",164.8,"148.7 - 175.5 (644)",1659
06013,"""Contra Costa, (CA)""",110.8,"26.6 - 148.6 (644)",2428
06015,"""Del Norte, (CA)""",178.5,"175.6 - 204.1 (644)",1811
06017,"""El Dorado, (CA)""",157.2,"148.7 - 175.5 (644)",1512
06021,"""Glenn, (CA)""",164.4,"148.7 - 175.5 (644)",2703
06023,"""Humboldt, (CA)""",209.2,"204.2 - 242.8 (644)",2150
06031,"""Kings, (CA)""",216.8,"204.2 - 242.8 (644)",2172
06033,"""Lake, (CA)""",169.4,"148.7 - 175.5 (644)",2331
06035,"""Lassen, (CA)""",219,"204.2 - 242.8 (644)",1960
06041,"""Marin, (CA)""",91.6,"26.6 - 148.6 (644)",1702
06043,"""Mariposa, (CA)""",222.6,"204.2 - 242.8 (644)",1429
06045,"""Mendocino, (CA)""",152.9,"148.7 - 175.5 (644)",2191
06047,"""Merced, (CA)""",203.9,"175.6 - 204.1 (644)",2138
06049,"""Modoc, (CA)""",197.9,"175.6 - 204.1 (644)",1065
06053,"""Monterey, (CA)""",107.2,"26.6 - 148.6 (644)",2215
06055,"""Napa, (CA)""",152,"148.7 - 175.5 (644)",1401
06057,"""Nevada, (CA)""",157.7,"148.7 - 175.5 (644)",1455
06061,"""Placer, (CA)""",142.3,"26.6 - 148.6 (644)",1659
06063,"""Plumas, (CA)""",167.8,"148.7 - 175.5 (644)",2013
06067,"""Sacramento, (CA)""",179,"175.6 - 204.1 (644)",2668
06069,"""San Benito, (CA)""",131.5,"26.6 - 148.6 (644)",1894
06075,"""San Francisco, (CA)""",108.4,"26.6 - 148.6 (644)",2689
06077,"""San Joaquin, (CA)""",171.8,"148.7 - 175.5 (644)",2736
06079,"""San Luis Obispo, (CA)""",129.6,"26.6 - 148.6 (644)",1625
06081,"""San Mateo, (CA)""",109.4,"26.6 - 148.6 (644)",1895
06083,"""Santa Barbara, (CA)""",137.8,"26.6 - 148.6 (644)",1748
06085,"""Santa Clara, (CA)""",110.2,"26.6 - 148.6 (644)",2354
06087,"""Santa Cruz, (CA)""",109.4,"26.6 - 148.6 (644)",2098
06089,"""Shasta, (CA)""",221.9,"204.2 - 242.8 (644)",2503
06091,"""Sierra, (CA)""",218,"204.2 - 242.8 (644)",1204
06093,"""Siskiyou, (CA)""",174.5,"148.7 - 175.5 (644)",1548
06095,"""Solano, (CA)""",128.2,"26.6 - 148.6 (644)",2801
06097,"""Sonoma, (CA)""",140.1,"26.6 - 148.6 (644)",2006
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",2640
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",1882
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",2145
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",2882
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",1658
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",2039
06115,"""Yuba, (CA)""",254.9,"242.9 - 651.5 (644)",2439
15001,"""Hawaii, (HI)""",139.8,"26.6 - 148.6 (644)",1339
15003,"""Honolulu, (HI)""",128.7,"26.6 - 148.6 (644)",1546
15005,"""Kalawao, (HI)""",113.5,"26.6 - 148.6 (644)",-9999
15007,"""Kauai, (HI)""",126.5,"26.6 - 148.6 (644)",1454
15009,"""Maui, (HI)""",120.6,"26.6 - 148.6 (644)",813
41003,"""Benton, (OR)""",106.8,"26.6 - 148.6 (644)",1098
41005,"""Clackamas, (OR)""",102.9,"26.6 - 148.6 (644)",1974
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",1879
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",1535
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",1436
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",933
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",1503
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",1052
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",1202
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",1346
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",1724
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",2037
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",1150
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",2265
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",1422
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",1994
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",1605
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",1159
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",1551
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",1954
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",2372
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",1789
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",2331
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",1319
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",1702
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",1762
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",13
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",1595
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",1463
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",2238
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",2061
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",1877
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",2629
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",1527
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",1221
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",2421
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",1896
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",1413
