"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
02013,"""Aleutians East, (AK)""",26.6,"26.6 - 148.6 (644)",13,49.9,29.9
02016,"""Aleutians West, (AK)""",126.2,"26.6 - 148.6 (644)",10.7,44.1,30.3
02020,"""Anchorage, (AK)""",126.2,"26.6 - 148.6 (644)",8.2,31.7,17.8
02050,"""Bethel, (AK)""",150.6,"148.7 - 175.5 (644)",7,30.8,31.3
02060,"""Bristol Bay, (AK)""",-1,,13.7,41.3,28.1
02068,"""Denali, (AK)""",124.3,"26.6 - 148.6 (644)",5.1,24.7,18.2
02070,"""Dillingham, (AK)""",147.7,"26.6 - 148.6 (644)",10.5,35.2,23.9
02090,"""Fairbanks North Star, (AK)""",146.6,"26.6 - 148.6 (644)",7.1,30,18.7
02100,"""Haines, (AK)""",140.6,"26.6 - 148.6 (644)",5.5,26.4,19.3
02105,"""Hoonah-Angoon, (AK)""",158.7,"148.7 - 175.5 (644)",11.1,31.5,17.2
02110,"""Juneau, (AK)""",145.3,"26.6 - 148.6 (644)",6.2,26.9,15.9
02122,"""Kenai Peninsula, (AK)""",153.9,"148.7 - 175.5 (644)",7.1,32.9,21.5
02130,"""Ketchikan Gateway, (AK)""",138.8,"26.6 - 148.6 (644)",8,38,18.6
02150,"""Kodiak Island, (AK)""",162.9,"148.7 - 175.5 (644)",8.2,33.8,24.6
02164,"""Lake and Peninsula, (AK)""",146.6,"26.6 - 148.6 (644)",9.5,37.5,22
02170,"""Matanuska-Susitna, (AK)""",126.3,"26.6 - 148.6 (644)",8.5,34.1,21.8
02180,"""Nome, (AK)""",247.8,"242.9 - 651.5 (644)",8.2,40.2,25.2
02185,"""North Slope, (AK)""",157.2,"148.7 - 175.5 (644)",8.4,39.7,35.3
02188,"""Northwest Arctic, (AK)""",226.6,"204.2 - 242.8 (644)",11.6,41.8,27
02195,"""Petersburg, (AK)""",131.8,"26.6 - 148.6 (644)",6.5,24.1,17.6
02198,"""Prince of Wales-Hyder, (AK)""",204.3,"204.2 - 242.8 (644)",11.6,44.8,21.7
02220,"""Sitka, (AK)""",188.5,"175.6 - 204.1 (644)",7.2,26.2,17.2
02230,"""Skagway, (AK)""",-1,,6,32.4,19.1
02240,"""Southeast Fairbanks, (AK)""",135.1,"26.6 - 148.6 (644)",8.6,32.7,18.1
02261,"""Valdez-Cordova, (AK)""",136,"26.6 - 148.6 (644)",10.1,34.1,18.7
